FAIL,DIMENSIOON,SKOORID,VASTAJAID,STD,KESKMINE SKOOR
www_seduction_ee.ela_642092.txt,form,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.5 | 0.5 | 0.0,3,0.0,0.5
www_seduction_ee.ela_642092.txt,spont,0.5 | 0.0 | 3.0 | 2.0 | 3.0 | 2.0 | 3.0 | 1.0 | 3.0 | 0.5,9,1.09,2.0
www_kohus_ee.ela_34731.txt,form,3.0 | 3.0 | 2.0 | 1.0 | 2.0 | 0.5 | 1.0 | 0.5 | 3.0 | 2.0,10,1.01,1.8
www_kohus_ee.ela_34731.txt,spont,0.0 | 0.0 | 0.5 | 0.0 | 0.0 | 1.0 | 0.5 | 0.0 | 1.0 | 0.5,5,0.27,0.7
www_lapsemure_ee.ela_140896.txt,form,1.0 | 1.0 | 1.0 | 0.5 | 0.5 | 0.5 | 0.5 | 1.0 | 1.0 | 0.0,9,0.26,0.78
www_lapsemure_ee.ela_140896.txt,spont,2.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0,10,0.32,2.9
et_wikipedia_org.ela_624820.txt,form,2.0 | 3.0 | 1.0 | 0.0 | 0.5 | 1.0 | 2.0 | 0.5 | 0.5 | 0.0,8,0.92,1.31
et_wikipedia_org.ela_624820.txt,spont,3.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,2,1.77,1.75
et_wikipedia_org.ela_519819.txt,form,0.5 | 2.0 | 0.0 | 0.0 | 2.0 | 1.0 | 2.0 | 2.0 | 2.0 | 2.0,8,0.59,1.69
et_wikipedia_org.ela_519819.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0,2,0.35,0.75
blablabla_ee.ela_504829.txt,form,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0,5,0.0,1.0
blablabla_ee.ela_504829.txt,spont,2.0 | 1.0 | 1.0 | 0.5 | 1.0 | 1.0 | 2.0 | 0.0 | 0.5 | 0.5,9,0.58,1.06
www_director_ee.ela_529643.txt,form,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 0.0,1,nan,1.0
www_director_ee.ela_529643.txt,spont,2.0 | 0.0 | 1.0 | 0.0 | 1.0 | 0.0 | 1.0 | 0.0 | 1.0 | 0.0,5,0.45,1.2
et_wikipedia_org.ela_219301.txt,form,0.5 | 1.0 | 0.5 | 0.5 | 0.0 | 0.5 | 1.0 | 1.0 | 1.0 | 0.0,8,0.27,0.75
et_wikipedia_org.ela_219301.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5,1,nan,0.5
www_politsei_ee.ela_40109.txt,form,1.0 | 2.0 | 1.0 | 2.0 | 2.0 | 2.0 | 3.0 | 0.5 | 3.0 | 1.0,10,0.86,1.75
www_politsei_ee.ela_40109.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,0,nan,nan
www_lounaleht_ee.ela_576969.txt,form,2.0 | 0.5 | 1.0 | 0.0 | 0.5 | 0.0 | 0.5 | 0.5 | 1.0 | 1.0,8,0.52,0.88
www_lounaleht_ee.ela_576969.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 0.0,1,nan,1.0
rahvahaal_delfi_ee.ela_258274.txt,form,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 0.0 | 0.5 | 0.0 | 0.0 | 0.0,6,0.2,0.92
rahvahaal_delfi_ee.ela_258274.txt,spont,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 2.0 | 1.0 | 1.0 | 1.0,10,0.32,1.1
arvamusaed_ee.ela_274676.txt,form,0.5 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0,3,0.0,0.5
arvamusaed_ee.ela_274676.txt,spont,0.0 | 0.0 | 2.0 | 1.0 | 0.0 | 1.0 | 1.0 | 1.0 | 0.0 | 1.0,6,0.41,1.17
www_ekspress_ee.ela_495829.txt,form,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,0,nan,nan
www_ekspress_ee.ela_495829.txt,spont,3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 2.0 | 3.0 | 3.0 | 3.0,10,0.32,2.9
www_ekspress_ee.ela_177019.txt,form,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 0.0 | 0.5 | 0.5 | 0.0 | 0.0,7,0.24,0.86
www_ekspress_ee.ela_177019.txt,spont,3.0 | 3.0 | 3.0 | 3.0 | 2.0 | 3.0 | 1.0 | 3.0 | 2.0 | 2.0,10,0.71,2.5
www_aialeht_ee.ela_457123.txt,form,0.0 | 0.5 | 0.5 | 0.0 | 0.5 | 0.0 | 1.0 | 0.0 | 0.5 | 0.0,5,0.22,0.6
www_aialeht_ee.ela_457123.txt,spont,3.0 | 3.0 | 1.0 | 3.0 | 3.0 | 3.0 | 2.0 | 2.0 | 3.0 | 2.0,10,0.71,2.5
www_puuinfo_ee.ela_279876.txt,form,1.0 | 2.0 | 1.0 | 0.0 | 1.0 | 2.0 | 2.0 | 0.0 | 2.0 | 2.0,8,0.52,1.62
www_puuinfo_ee.ela_279876.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,0,nan,nan
www_kv_ee.ela_199481.txt,form,1.0 | 3.0 | 0.5 | 0.0 | 0.0 | 2.0 | 2.0 | 0.0 | 1.0 | 0.0,6,0.92,1.58
www_kv_ee.ela_199481.txt,spont,0.0 | 1.0 | 0.0 | 2.0 | 2.0 | 0.0 | 0.0 | 0.0 | 1.0 | 2.0,5,0.55,1.6
www_snap_ee.ela_623342.txt,form,0.5 | 0.0 | 0.5 | 0.5 | 0.5 | 2.0 | 2.0 | 0.0 | 1.0 | 1.0,8,0.65,1.0
www_snap_ee.ela_623342.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0,2,0.35,0.75
www_riigikogu_ee.ela_224866.txt,form,2.0 | 2.0 | 0.0 | 1.0 | 0.0 | 0.5 | 0.0 | 0.5 | 3.0 | 0.5,7,0.99,1.36
www_riigikogu_ee.ela_224866.txt,spont,3.0 | 3.0 | 1.0 | 2.0 | 0.5 | 1.0 | 0.5 | 1.0 | 0.0 | 1.0,9,0.98,1.44
www_eestikirik_ee.ela_530609.txt,form,0.0 | 1.0 | 1.0 | 0.0 | 0.0 | 0.5 | 0.5 | 0.0 | 0.5 | 0.5,6,0.26,0.67
www_eestikirik_ee.ela_530609.txt,spont,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 0.5 | 0.5 | 0.0 | 1.0 | 0.0,8,0.23,0.88
www_jeesusekristusekirik_ee.ela_65555.txt,form,0.0 | 1.0 | 1.0 | 1.0 | 0.0 | 0.5 | 0.5 | 0.0 | 0.0 | 1.0,6,0.26,0.83
www_jeesusekristusekirik_ee.ela_65555.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 2.0 | 2.0,3,0.87,1.5
www_nami-nami_ee.ela_456341.txt,form,0.5 | 0.5 | 0.5 | 0.0 | 0.0 | 0.5 | 0.5 | 0.0 | 0.5 | 0.0,6,0.0,0.5
www_nami-nami_ee.ela_456341.txt,spont,0.0 | 1.0 | 0.5 | 1.0 | 1.0 | 1.0 | 2.0 | 1.0 | 2.0 | 1.0,9,0.5,1.17
www_vnl_ee.ela_670256.txt,form,2.0 | 2.0 | 2.0 | 0.0 | 1.0 | 0.0 | 0.5 | 2.0 | 0.5 | 0.0,7,0.73,1.43
www_vnl_ee.ela_670256.txt,spont,0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 0.0 | 0.5 | 0.0 | 0.5 | 0.0,4,0.29,0.75
www_maaleht_ee.ela_246360.txt,form,2.0 | 2.0 | 1.0 | 0.0 | 1.0 | 0.0 | 0.5 | 1.0 | 2.0 | 0.0,7,0.63,1.36
www_maaleht_ee.ela_246360.txt,spont,0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 1.0 | 0.5 | 0.0 | 0.5 | 0.0,4,0.29,0.75
uuseesti_ee.ela_112397.txt,form,3.0 | 3.0 | 3.0 | 2.0 | 2.0 | 0.5 | 0.5 | 2.0 | 2.0 | 2.0,10,0.91,2.0
uuseesti_ee.ela_112397.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0,5,0.0,1.0
kalah_zzz_ee.ela_73709.txt,form,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.5 | 0.0 | 1.0,3,0.29,0.67
kalah_zzz_ee.ela_73709.txt,spont,2.0 | 3.0 | 1.0 | 3.0 | 3.0 | 1.0 | 0.5 | 1.0 | 1.0 | 1.0,10,1.0,1.65
rahvahaal_delfi_ee.ela_388979.txt,form,0.0 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0,2,0.0,0.5
rahvahaal_delfi_ee.ela_388979.txt,spont,0.0 | 0.0 | 2.0 | 0.0 | 1.0 | 2.0 | 1.0 | 1.0 | 1.0 | 1.0,7,0.49,1.29
www_med24_ee.ela_557549.txt,form,0.0 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0 | 0.0,2,0.0,0.5
www_med24_ee.ela_557549.txt,spont,1.0 | 0.0 | 2.0 | 0.0 | 1.0 | 1.0 | 3.0 | 1.0 | 2.0 | 1.0,8,0.76,1.5
www_ilm_err_ee.ela_196894.txt,form,3.0 | 0.5 | 3.0 | 0.5 | 0.5 | 2.0 | 1.0 | 2.0 | 1.0 | 2.0,10,0.98,1.55
www_ilm_err_ee.ela_196894.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,0,nan,nan
www_tootukassa_ee.ela_395777.txt,form,3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0 | 3.0,10,0.0,3.0
www_tootukassa_ee.ela_395777.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 0.0 | 1.0 | 0.5 | 0.5,4,0.29,0.75
www_mod_gov_ee.ela_178680.txt,form,3.0 | 3.0 | 1.0 | 3.0 | 3.0 | 1.0 | 2.0 | 2.0 | 0.0 | 3.0,9,0.87,2.33
www_mod_gov_ee.ela_178680.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,0,nan,nan
www_pealinn_ee.ela_132426.txt,form,1.0 | 1.0 | 0.5 | 1.0 | 0.5 | 1.0 | 2.0 | 1.0 | 0.0 | 0.0,8,0.46,1.0
www_pealinn_ee.ela_132426.txt,spont,1.0 | 0.0 | 0.0 | 1.0 | 1.0 | 0.0 | 0.0 | 0.0 | 1.0 | 2.0,5,0.45,1.2
www_advent_ee.ela_658698.txt,form,0.5 | 0.5 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.5 | 0.0 | 0.0,4,0.0,0.5
